playerID,allStarCount,awardsCount,totalGames,totalHomeRuns,totalHits,totalPitchingStrikeOuts,totalPitchWins,totalFielderPutouts,postHomeRuns,postHits,postPitchingStrikeOuts,postTotalWins,postFielderPutouts,class
schmija01,3,2,324,7,63,1758,130,91,0,0,32,3,2,False
rodrifr03,6,4,948,0,1,1142,52,70,0,0,49,5,1,False
shielja02,1,0,411,0,24,2234,145,187,0,0,45,3,5,False
salmoti01,0,5,1672,299,1674,NULL,NULL,2695,4,17,NULL,NULL,32,False
sandere02,1,1,1777,305,1666,NULL,NULL,3334,7,43,NULL,NULL,131,False
santibe01,5,12,1978,217,1830,NULL,NULL,10955,3,25,NULL,NULL,156,False
rodriiv01,14,29,2543,311,2844,NULL,NULL,14922,4,39,NULL,NULL,296,True
sheffga01,9,9,2576,509,2689,NULL,NULL,3275,6,40,NULL,NULL,83,False
sierrru01,4,3,2186,306,2152,NULL,NULL,2951,5,24,NULL,NULL,12,False
rodrial01,14,31,2784,696,3115,NULL,NULL,2781,13,72,NULL,NULL,62,False
rolensc01,7,13,2038,316,2077,NULL,NULL,1478,5,31,NULL,NULL,24,True
rolliji01,3,7,2275,231,2455,NULL,NULL,2982,3,48,NULL,NULL,66,False
sexsori01,2,0,1367,306,1286,NULL,NULL,9838,0,1,NULL,NULL,33,False
sanchfr01,3,0,904,48,1012,NULL,NULL,1466,0,16,NULL,NULL,23,False
smoltjo01,8,10,735,5,151,3084,213,320,0,12,199,15,14,True
snowjt01,0,6,1716,189,1509,NULL,NULL,12855,3,32,NULL,NULL,205,False
sosasa01,7,16,2354,609,2408,NULL,NULL,4522,2,13,NULL,NULL,30,False
stairma01,0,0,1895,265,1366,NULL,NULL,3159,1,3,NULL,NULL,6,False
steinte01,3,1,1546,162,1453,NULL,NULL,7849,2,25,NULL,NULL,116,False
stottto01,0,2,373,1,50,1587,138,166,0,0,48,3,3,False
soriaal01,7,8,1975,412,2095,NULL,NULL,3456,4,37,NULL,NULL,81,False
strawda01,8,5,1583,335,1401,NULL,NULL,2515,9,32,NULL,NULL,55,False
surhobj01,1,0,2313,188,2326,NULL,NULL,6661,4,24,NULL,NULL,41,False
tettlmi01,2,6,1485,245,1132,NULL,NULL,4951,0,1,NULL,NULL,NULL,False
thomafr04,5,10,2322,521,2468,NULL,NULL,7910,3,11,NULL,NULL,32,True
thomeji01,5,6,2543,612,2328,NULL,NULL,9450,17,49,NULL,NULL,291,True
thompro01,2,3,1304,119,1187,NULL,NULL,2611,3,8,NULL,NULL,25,False
timlimi01,0,1,1059,0,0,872,75,101,0,0,41,0,2,False
sweenmi01,5,1,1454,215,1540,NULL,NULL,6015,0,1,NULL,NULL,NULL,False
tejadmi01,6,5,2171,307,2407,NULL,NULL,3037,1,18,NULL,NULL,34,False
streehu01,2,1,668,0,0,665,42,43,0,0,8,0,0,False
swishni01,1,0,1527,245,1338,1,0,5252,4,26,NULL,NULL,153,False
teixema01,3,9,1862,409,1862,NULL,NULL,14989,3,34,NULL,NULL,376,False
violafr01,3,6,421,0,26,1844,176,84,0,0,25,3,1,False
vaughgr01,4,2,1731,355,1475,NULL,NULL,2518,3,9,NULL,NULL,9,False
vaughmo01,3,3,1512,328,1620,NULL,NULL,10947,2,7,NULL,NULL,57,False
venturo01,2,6,2079,294,1885,0,0,2215,3,22,NULL,NULL,28,False
vizquom01,3,12,2968,80,2877,NULL,NULL,4268,0,57,NULL,NULL,99,False
